PROV1;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;Juan Bodega;x
PROV4;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;Doña Marie Luisa;x
PROV13;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;Narváez;x
PROV29;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;Lekarstvennaya Shlyapa;x
PROV64;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;Three Rivers;x
PROV100;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;x
PROV102;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;x
PROV141;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;x
PROV199;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;San Agustín;x
PROV334;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;x
PROV345;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;Kaby;x
PROV347;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;x
PROV356;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;Borisoglebsk;x
PROV357;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;Mitawa;x
PROV364;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;Szawle;x
PROV390;Antorf;Antorf;Antorf;Antorf;Antorf;Antorf;Antorf;Antorf;Antorf;Antorf;Antorf;Antorf;Antorf;x
PROV393;Dornick;Dornick;Dornick;Dornick;Dornick;Dornick;Dornick;Dornick;Dornick;Dornick;Dornick;Dornick;Dornick;x
PROV394;Karolingen;Karolingen;Karolingen;Karolingen;Karolingen;Karolingen;Karolingen;Karolingen;Karolingen;Karolingen;Karolingen;Karolingen;Karolingen;x
PROV395;Lîdge;Lîdge;Lîdge;Lîdge;Lîdge;Lîdge;Lîdge;Lîdge;Lîdge;Lîdge;Lîdge;Lîdge;Lîdge;x
PROV399;Ryssel;Ryssel;Ryssel;Ryssel;Ryssel;Ryssel;Ryssel;Ryssel;Ryssel;Ryssel;Ryssel;Ryssel;Ryssel;x
PROV400;Dünkirchen;Dünkirchen;Dünkirchen;Dünkirchen;Dünkirchen;Dünkirchen;Dünkirchen;Dünkirchen;Dünkirchen;Dünkirchen;Dünkirchen;Dünkirchen;Dünkirchen;x
PROV404;Kamerich;Kamerich;Kamerich;Kamerich;Kamerich;Kamerich;Kamerich;Kamerich;Kamerich;Kamerich;Kamerich;Kamerich;Kamerich;x
PROV413;Wirten;Wirten;Wirten;Wirten;Wirten;Wirten;Wirten;Wirten;Wirten;Wirten;Wirten;Wirten;Wirten;x
PROV432;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;Bisanz;x
PROV575;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;Köln;x
PROV577;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;Kleve;x
PROV627;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;x
PROV633;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;Preßburg;x
PROV636;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;Banska Bystrzyca;x
PROV652;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;Timisoara;x
PROV657;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;Sibiu;x
PROV659;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;Brasov;x
PROV661;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;Bistrita;x
PROV683;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;x
PROV684;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;x
PROV690;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;Gdansk;x
PROV693;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;Elblag;x
PROV696;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;Olsztyn;x
PROV697;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;Gabin;x
PROV699;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;x
PROV702;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;x
PROV737;Görz;Görz;Görz;Görz;Görz;Görz;Görz;Görz;Görz;Görz;Görz;Görz;Görz;x
PROV745;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;x
PROV748;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;x
PROV778;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;Rijeka;x
PROV782;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;Ragusa;x
PROV828;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;Adrianopol;x
PROV851;Durrës;Durrës;Durrës;Durrës;Durrës;Durrës;Durrës;Durrës;Durrës;Durrës;Durrës;Durrës;Durrës;x
PROV860;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;Tarigrad;x
PROV958;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;Kijów;x
PROV962;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;x
PROV967;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;Akyar;x
PROV1044;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;Chkalov;x
PROV2533;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;Târgu Mures;x
PROV2538;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;x
